Mesh #,D_1,D_subFrac,L_Total,L_subFrac,angle,compFactor
74,0.460001833,0.417555297,3.729436954,0.391507735,32.21444339,0.715822586
75,0.824944731,0.632247483,2.794250177,0.687394757,56.78477544,0.911414893
76,0.45028672,0.551363278,4.497095514,0.50732365,30.80390419,0.828703001
77,0.987370832,0.503935065,4.988597145,0.748907458,22.3085644,0.844648426
78,0.315065179,0.490730594,3.931230379,0.48316419,40.80311275,0.952206532
79,0.511532033,0.750832012,2.866432013,0.268432046,54.08751352,0.975303039
80,0.951748931,0.542683317,3.790579549,0.481682208,53.37134115,0.915593443
81,0.412527354,0.455424085,4.982615252,0.798452996,57.96047902,0.721079637
82,0.517895221,0.795791362,4.163819526,0.33824077,33.7872459,0.70185481
83,0.651974795,0.689100907,4.038777184,0.682860829,25.69250946,0.763992802
84,0.397925719,0.709099185,4.437134455,0.38090432,36.47324117,0.982224665
85,0.974048076,0.507807573,3.7022437,0.628323427,57.2471682,0.965098306
86,0.300443932,0.64920303,4.841682247,0.631298752,60.97939607,0.718364683
87,0.837403062,0.464289868,2.607730134,0.395770433,33.217123,0.808876855
88,0.928534117,0.72693097,4.770491067,0.275637464,34.9647829,0.924303958
89,0.754322088,0.634750229,2.875425209,0.347032527,38.18202501,0.918286191
90,0.955140691,0.589417789,3.574234752,0.648107992,24.38753751,0.82714778
91,0.611821446,0.508469738,4.682722401,0.449704664,47.20617613,0.863656369
92,0.856202338,0.601123701,4.398263127,0.238990944,40.41385593,0.789232945
93,0.832920754,0.661595721,4.934537008,0.792276459,69.57416953,0.797233684
94,0.787213869,0.476161026,4.59578104,0.722954759,31.60968497,0.845765471
95,0.825156251,0.722351004,4.545294741,0.767806324,45.18678574,0.743837503
96,0.93269577,0.748609683,4.34069142,0.662173559,51.40635978,0.925012735
97,0.662641143,0.636481263,3.813581061,0.56429728,36.71120599,0.989062473
98,0.370738379,0.785763062,4.74883447,0.375397042,34.61686968,0.922039802
99,0.681467849,0.786268189,4.403356966,0.475176406,21.54873443,0.85667562
100,0.804862171,0.443674702,3.434348847,0.254969552,55.60762457,0.955325715
101,0.628335121,0.512546937,2.679747986,0.2460229,48.5387421,0.976737404
102,0.607603196,0.517300246,3.438991472,0.327934513,61.65734926,0.840551465
103,0.620022075,0.627553878,3.173370726,0.249442647,37.04227634,0.905360128
104,0.596126254,0.568294033,4.036717585,0.498766167,56.69898716,0.807148905
105,0.856687464,0.717454737,3.314073068,0.75989916,21.95657756,0.73852254
106,0.81584396,0.761814918,2.760215042,0.394126997,35.05815456,0.802048145
107,0.311134834,0.7280152,2.993181958,0.657686,21.04423237,0.730851129
108,0.726906233,0.548052362,4.229261139,0.303938822,25.04901412,0.872829923
109,0.894187961,0.74444544,3.010430292,0.509835098,53.60090551,0.942145488
110,0.844462708,0.658894819,3.718638341,0.207745184,42.29464907,0.758827027
111,0.922439464,0.691184044,2.545899488,0.323575634,30.03381611,0.940594089
112,0.507533504,0.489434598,4.630405977,0.674315195,67.2826531,0.883425951
113,0.642951629,0.470130691,2.661302654,0.23346936,20.03584366,0.711492151
114,0.666071147,0.493259606,2.703682784,0.472496094,64.88055028,0.979298384
115,0.425674749,0.539933819,3.536808345,0.317426242,39.38284668,0.751043001
116,0.995132824,0.738666771,4.47373739,0.643993688,22.66589641,0.969006592
117,0.386231637,0.43209287,2.948483674,0.292293221,68.1165927,0.794321147
118,0.874336717,0.58521161,3.285975364,0.359288474,59.19580665,0.912279505
119,0.338381198,0.405455691,3.085042171,0.553865381,54.30879105,0.953959707
120,0.648839047,0.665857025,3.110446631,0.214234951,51.22188719,0.999368281
121,0.633614363,0.670531395,2.641584898,0.772125416,51.534711,0.926608626
122,0.706747666,0.756361856,3.801148344,0.575832785,52.46766463,0.985846469
123,0.53660038,0.484700301,4.964017078,0.313675634,41.19804554,0.70854808
124,0.366565118,0.425868148,2.505292266,0.668806584,64.09224132,0.945269823
125,0.477069422,0.44110157,4.145388191,0.541622938,40.17472863,0.776258348
126,0.882253316,0.777040143,2.934673508,0.684891832,69.89178126,0.740457528
127,0.722602127,0.646176585,2.747435234,0.478165985,39.92806231,0.778827052
128,0.501824428,0.473919736,4.018606373,0.273348708,54.67215305,0.829939421
129,0.684176222,0.625378309,2.762849761,0.446850445,58.66227263,0.986854083
130,0.34631251,0.613555162,4.731313284,0.426281925,50.39616827,0.800922319
131,0.524432929,0.439276473,4.120971713,0.666465616,41.88648871,0.83614514
132,0.461654965,0.558586925,2.518794292,0.653531706,39.52004065,0.766866176
133,0.498143161,0.556655821,3.274859533,0.610441626,26.0304114,0.876343771
134,0.899989635,0.679985784,3.03947282,0.433519372,55.48121965,0.949147087
135,0.630464906,0.482613805,2.778583984,0.455518496,48.02945615,0.76168643
136,0.405110449,0.655635075,4.161383,0.743469272,63.0248544,0.834181911
137,0.809589588,0.533436487,4.79026201,0.520454253,66.40979309,0.875222626
138,0.846114665,0.692228238,3.189203883,0.600420133,45.57838125,0.852475009
139,0.759726897,0.495027862,3.345723775,0.362998314,60.33296679,0.792771281
140,0.871326026,0.463181192,3.359451682,0.37210659,52.15656127,0.933251592
141,0.504174339,0.460481961,3.056467545,0.739819126,44.25068469,0.838104788
142,0.904134858,0.529541687,4.923690255,0.315309615,33.37843221,0.781718559
143,0.933591311,0.403910652,4.5669253,0.257731991,63.40980418,0.960193269
144,0.637676776,0.747208798,4.194700491,0.570283782,20.72713801,0.901151505
145,0.730519961,0.468552963,4.950049969,0.221332196,68.80451962,0.74890852
146,0.965090394,0.55532921,4.948732403,0.488533774,35.64477422,0.909627338
147,0.42055126,0.713275709,3.652768951,0.42031315,66.09170109,0.774792529
148,0.863440038,0.666794643,2.97364146,0.55874188,69.44552094,0.972112316
149,0.695042732,0.540954863,3.782845592,0.463219608,42.15368206,0.967635253
150,0.557784584,0.534375923,4.7209767,0.440627404,68.54718649,0.760396828
151,0.959764468,0.42145076,4.352977397,0.515656017,62.55387898,0.902885773
152,0.944984287,0.575242411,4.385540581,0.219558463,62.89740474,0.700582656
153,0.820083717,0.519148211,4.875185289,0.778579041,59.25935677,0.893535866
154,0.712273643,0.696104045,2.986805555,0.230026892,50.62655246,0.819365481
155,0.377367647,0.65733088,3.983345951,0.369263514,38.71370691,0.913485097
156,0.700268849,0.526698295,4.536416037,0.588449488,43.0325154,0.706477123
157,0.918535911,0.6720716,3.825479042,0.752505141,36.96693986,0.790566292
158,0.747988458,0.566713957,4.801575349,0.562283062,49.31335501,0.822391867
159,0.469725558,0.552343708,3.17718671,0.712219682,55.76619938,0.833266381
160,0.800042397,0.68177621,3.394402215,0.697562684,29.38004693,0.811574186
161,0.915857911,0.752259975,4.412641913,0.573214476,44.97145312,0.892529551
162,0.43525283,0.522047825,2.956081891,0.244051129,38.40764369,0.929780297
163,0.552815232,0.52495128,2.893902501,0.487662854,25.75481657,0.820271251
164,0.574010743,0.798966951,4.481860957,0.260565404,59.75994236,0.831668929
165,0.472832896,0.617888165,4.325685205,0.494037258,33.6067825,0.855180893
166,0.546882972,0.74325997,3.924996442,0.693227779,50.87061796,0.70987008
167,0.689449972,0.740340793,3.288714749,0.734360524,60.12899149,0.973833562
168,0.99946635,0.789062031,4.450082206,0.581625881,62.29247774,0.966119238
169,0.333021712,0.707290499,3.019838884,0.458006214,45.84696948,0.905749737
170,0.685154104,0.573898,4.054621494,0.635076582,57.27385639,0.860056907
171,0.56330453,0.72498164,4.655735058,0.586125776,31.91287743,0.814930597
172,0.672708526,0.77196964,4.312376121,0.61951753,38.7636816,0.823380732
173,0.362388961,0.69981182,3.748407917,0.289483416,27.14740882,0.799493367
174,0.609846248,0.782274705,3.03556166,0.252046511,26.49482674,0.99539804
175,0.831458069,0.401690866,3.549809997,0.354441172,58.37318336,0.936478786
176,0.325934281,0.593262835,4.604434848,0.788621164,57.52755072,0.992378096
177,0.61659173,0.791097015,4.29270338,0.659703444,24.20387023,0.747638732
178,0.39445767,0.732288205,4.890101476,0.308078621,23.071936,0.82513637
179,0.484088109,0.687601975,2.526750189,0.718329364,39.06201211,0.771778756
180,0.516841099,0.413270686,2.6731308,0.204697953,53.84341879,0.725065738
181,0.943710329,0.684948308,3.594810364,0.445706302,28.09891906,0.722799683
182,0.877970315,0.59935113,3.416738292,0.678640949,52.76921718,0.782779772
183,0.800780216,0.755351363,4.062500748,0.407489264,30.57318614,0.705174027
184,0.486200533,0.631319289,2.837551331,0.416728815,61.448989,0.866887459
185,0.624754348,0.735639375,4.708988808,0.366554893,45.29895395,0.943491952
186,0.322160569,0.499089101,3.091500959,0.216657782,28.31246344,0.997276203
187,0.401093138,0.720091427,4.324770397,0.352160827,52.54558051,0.735468128
188,0.309365811,0.427871032,3.508744983,0.398697867,59.69877535,0.785025383
189,0.886151753,0.711920718,3.608381754,0.42917669,62.17624566,0.931751473
190,0.401602609,0.54500921,4.259648435,0.615391353,22.844425,0.753953201
191,0.643384251,0.478623964,3.66688189,0.620768075,28.80063784,0.843571162
192,0.454634339,0.562326955,3.586410609,0.542425227,64.33709644,0.847247416
193,0.3899616,0.604830182,3.879348789,0.200387235,42.63556883,0.886885376
194,0.521979935,0.765297495,4.271104111,0.785282498,43.57386166,0.745526192
195,0.785200155,0.643247174,4.697020164,0.742772199,66.87787772,0.853717929
196,0.658109418,0.42803896,3.158943509,0.240091978,23.65737517,0.919098178
197,0.718110038,0.662753378,3.862913792,0.640682988,67.96429557,0.989931323
198,0.583612777,0.676512964,4.449307977,0.57890766,27.30483577,0.788086958
199,0.560482437,0.772690439,4.86796379,0.591645434,32.76357032,0.737405236
